Time,Total (W),Phase_A (W),Phase_B (W),Phase_C (W)
2024/1/13 13:00:00,743 W,272 W,362 W,109 W
2024/1/13 14:00:00,626 W,238 W,280 W,108 W
2024/1/13 15:00:00,"1,976 W",858 W,"1,012 W",106 W
2024/1/13 16:00:00,973 W,489 W,379 W,105 W
2024/1/13 17:00:00,"1,551 W",511 W,914 W,126 W
2024/1/13 18:00:00,808 W,395 W,232 W,181 W
2024/1/13 19:00:00,809 W,359 W,269 W,181 W
2024/1/13 20:00:00,637 W,222 W,233 W,182 W
2024/1/13 21:00:00,651 W,222 W,245 W,184 W
2024/1/13 22:00:00,748 W,232 W,332 W,184 W
2024/1/13 23:00:00,662 W,235 W,243 W,184 W
2024/1/14 0:00:00,669 W,239 W,245 W,185 W
2024/1/14 1:00:00,709 W,247 W,277 W,185 W
2024/1/14 2:00:00,813 W,363 W,266 W,184 W
2024/1/14 3:00:00,"1,036 W",372 W,479 W,185 W
2024/1/14 4:00:00,"1,260 W",713 W,363 W,184 W
2024/1/14 5:00:00,"1,023 W",576 W,263 W,184 W
2024/1/14 6:00:00,"1,122 W",345 W,594 W,183 W
2024/1/14 7:00:00,711 W,324 W,244 W,143 W
2024/1/14 8:00:00,757 W,422 W,224 W,111 W
2024/1/14 9:00:00,673 W,304 W,267 W,102 W
2024/1/14 10:00:00,"2,764 W","1,181 W",396 W,"1,187 W"
2024/1/14 11:00:00,"2,231 W",414 W,348 W,"1,469 W"
2024/1/14 12:00:00,"1,408 W",341 W,344 W,723 W
2024/1/14 13:00:00,"2,089 W",749 W,576 W,764 W
2024/1/14 14:00:00,"1,964 W",660 W,563 W,741 W
2024/1/14 15:00:00,"1,942 W",528 W,920 W,494 W
2024/1/14 16:00:00,994 W,594 W,277 W,123 W
2024/1/14 17:00:00,883 W,412 W,273 W,198 W
2024/1/14 18:00:00,777 W,315 W,262 W,200 W
2024/1/14 19:00:00,813 W,311 W,301 W,201 W
2024/1/14 20:00:00,"1,133 W",656 W,276 W,201 W
2024/1/14 21:00:00,996 W,481 W,313 W,202 W
2024/1/14 22:00:00,"1,600 W",336 W,"1,056 W",208 W
2024/1/14 23:00:00,857 W,356 W,299 W,202 W
2024/1/15 0:00:00,"1,017 W",249 W,564 W,204 W
2024/1/15 1:00:00,971 W,473 W,295 W,203 W
2024/1/15 2:00:00,908 W,404 W,301 W,203 W
2024/1/15 3:00:00,765 W,259 W,300 W,206 W
2024/1/15 4:00:00,827 W,257 W,366 W,204 W
2024/1/15 5:00:00,840 W,251 W,386 W,203 W
2024/1/15 6:00:00,716 W,240 W,276 W,200 W
2024/1/15 7:00:00,"1,149 W",713 W,264 W,172 W
2024/1/15 8:00:00,834 W,348 W,354 W,132 W
2024/1/15 9:00:00,737 W,326 W,286 W,125 W
2024/1/15 10:00:00,900 W,462 W,312 W,126 W
2024/1/15 11:00:00,872 W,338 W,412 W,122 W
2024/1/15 12:00:00,"1,062 W",614 W,326 W,122 W
2024/1/15 13:00:00,864 W,462 W,279 W,123 W
2024/1/15 14:00:00,"1,027 W",343 W,557 W,127 W
2024/1/15 15:00:00,665 W,263 W,277 W,125 W
2024/1/15 16:00:00,727 W,263 W,338 W,126 W
2024/1/15 17:00:00,951 W,239 W,565 W,147 W
2024/1/15 18:00:00,903 W,377 W,324 W,202 W
2024/1/15 19:00:00,918 W,443 W,274 W,201 W
2024/1/15 20:00:00,721 W,242 W,278 W,201 W
2024/1/15 21:00:00,795 W,318 W,274 W,203 W
2024/1/15 22:00:00,772 W,265 W,304 W,203 W
2024/1/15 23:00:00,875 W,380 W,291 W,204 W
2024/1/16 0:00:00,784 W,277 W,303 W,204 W
2024/1/16 1:00:00,761 W,257 W,300 W,204 W
2024/1/16 2:00:00,"1,795 W",517 W,"1,072 W",206 W
2024/1/16 3:00:00,779 W,261 W,312 W,206 W
2024/1/16 4:00:00,"1,146 W",439 W,504 W,203 W
2024/1/16 5:00:00,"1,082 W",558 W,321 W,203 W
2024/1/16 6:00:00,"1,100 W",598 W,301 W,201 W
2024/1/16 7:00:00,793 W,339 W,281 W,173 W
2024/1/16 8:00:00,815 W,424 W,259 W,132 W
2024/1/16 9:00:00,933 W,556 W,255 W,122 W
2024/1/16 10:00:00,"1,427 W",823 W,452 W,152 W
2024/1/16 11:00:00,"1,261 W",774 W,333 W,154 W
2024/1/16 12:00:00,"1,290 W",872 W,293 W,125 W
2024/1/16 13:00:00,"2,715 W",755 W,"1,835 W",125 W
2024/1/16 14:00:00,"1,715 W",724 W,865 W,126 W
2024/1/16 15:00:00,"1,375 W",815 W,422 W,138 W
2024/1/16 16:00:00,971 W,590 W,251 W,130 W
2024/1/16 17:00:00,941 W,495 W,300 W,146 W
2024/1/16 18:00:00,810 W,273 W,330 W,207 W
2024/1/16 19:00:00,783 W,324 W,252 W,207 W
2024/1/16 20:00:00,763 W,264 W,290 W,209 W
2024/1/16 21:00:00,822 W,352 W,261 W,209 W
2024/1/16 22:00:00,825 W,261 W,355 W,209 W
2024/1/16 23:00:00,847 W,353 W,284 W,210 W
2024/1/17 0:00:00,"1,000 W",506 W,285 W,209 W
2024/1/17 1:00:00,"1,212 W",657 W,345 W,210 W
2024/1/17 2:00:00,"1,034 W",530 W,294 W,210 W
2024/1/17 3:00:00,916 W,368 W,338 W,210 W
2024/1/17 4:00:00,918 W,399 W,308 W,211 W
2024/1/17 5:00:00,"1,027 W",475 W,341 W,211 W
2024/1/17 6:00:00,897 W,401 W,288 W,208 W
2024/1/17 7:00:00,781 W,308 W,302 W,171 W
2024/1/17 8:00:00,873 W,472 W,262 W,139 W
2024/1/17 9:00:00,"1,363 W",883 W,352 W,128 W
2024/1/17 10:00:00,"3,357 W","1,000 W","1,158 W","1,199 W"
2024/1/17 11:00:00,"2,953 W",391 W,"1,289 W","1,273 W"
2024/1/17 12:00:00,"2,233 W",421 W,559 W,"1,253 W"
2024/1/17 13:00:00,"3,093 W",363 W,"1,543 W","1,187 W"
2024/1/17 14:00:00,"2,857 W",380 W,"1,174 W","1,303 W"
2024/1/17 15:00:00,"2,082 W",380 W,523 W,"1,179 W"
2024/1/17 16:00:00,711 W,291 W,317 W,103 W
2024/1/17 17:00:00,741 W,261 W,354 W,126 W
2024/1/17 18:00:00,906 W,242 W,484 W,180 W
2024/1/17 19:00:00,973 W,429 W,362 W,182 W
2024/1/17 20:00:00,"1,236 W",461 W,593 W,182 W
2024/1/17 21:00:00,887 W,429 W,275 W,183 W
2024/1/17 22:00:00,799 W,340 W,276 W,183 W
2024/1/17 23:00:00,856 W,395 W,278 W,183 W
2024/1/18 0:00:00,856 W,359 W,312 W,185 W
2024/1/18 1:00:00,"1,137 W",521 W,432 W,184 W
2024/1/18 2:00:00,"1,039 W",482 W,373 W,184 W
2024/1/18 3:00:00,941 W,366 W,390 W,185 W
2024/1/18 4:00:00,797 W,252 W,361 W,184 W
2024/1/18 5:00:00,717 W,245 W,288 W,184 W
2024/1/18 6:00:00,834 W,375 W,277 W,182 W
2024/1/18 7:00:00,946 W,255 W,545 W,146 W
2024/1/18 8:00:00,"1,479 W",899 W,468 W,112 W
2024/1/18 9:00:00,"1,245 W",253 W,890 W,102 W
2024/1/18 10:00:00,"2,739 W",825 W,"1,783 W",131 W
2024/1/18 11:00:00,"2,794 W",242 W,"2,177 W",375 W
2024/1/18 12:00:00,"2,136 W",478 W,"1,286 W",372 W
2024/1/18 13:00:00,"1,942 W",362 W,"1,227 W",353 W
2024/1/18 14:00:00,994 W,353 W,360 W,281 W
2024/1/18 15:00:00,"1,116 W",555 W,434 W,127 W
2024/1/18 16:00:00,673 W,301 W,269 W,103 W
2024/1/18 17:00:00,646 W,255 W,267 W,124 W
2024/1/18 18:00:00,733 W,221 W,320 W,192 W
2024/1/18 19:00:00,"1,027 W",370 W,476 W,181 W
2024/1/18 20:00:00,883 W,450 W,250 W,183 W
2024/1/18 21:00:00,795 W,257 W,354 W,184 W
2024/1/18 22:00:00,707 W,230 W,293 W,184 W
2024/1/18 23:00:00,"1,082 W",265 W,634 W,183 W
2024/1/19 0:00:00,700 W,235 W,281 W,184 W
2024/1/19 1:00:00,887 W,397 W,307 W,183 W
2024/1/19 2:00:00,861 W,385 W,292 W,184 W
2024/1/19 3:00:00,"1,060 W",503 W,372 W,185 W
2024/1/19 4:00:00,840 W,382 W,274 W,184 W
2024/1/19 5:00:00,"1,105 W",455 W,467 W,183 W
2024/1/19 6:00:00,851 W,341 W,327 W,183 W
2024/1/19 7:00:00,860 W,448 W,260 W,152 W
